MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS
Autoservicios Surtido Extendido Area 1_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Torreon,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Merida,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Tepic,PB_NIELSEN,NEEDS_REVIEW
TRADICIONAL VDM ZONA II,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Saltillo,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Cancun,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Ahome,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Chihuahua,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Cuernavaca,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Reynosa,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Mayoristas Area 6,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Nogales,PB_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 2,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Tapachula_MT,PB_NIELSEN,NEEDS_REVIEW
Total Autos Torreon,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Esencial Area 1,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Area 4,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Acapulco,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Tapachula,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo Area 4_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Canal Tradicional _Vdm Zona 4,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Baja California_MT,PB_NIELSEN,NEEDS_REVIEW
Total Autos Toluca,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Delicias,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Torreon,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Vdm Zona 2,EDP_NIELSEN,NEEDS_REVIEW
TOTAL AUTOS AREA 1 + AREA 2,PB_NIELSEN,NEEDS_REVIEW
Total _Area 4,EDP_NIELSEN,NEEDS_REVIEW
Canal Tradicional _Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Total Area II_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Nogales,EDP_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Ensenada,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surt. Completo Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Total Autos Toluca_MT,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Cd. Del Carmen,EDP_NIELSEN,NEEDS_REVIEW
TDC + Farmacias Cad + Hard Discounters Total Mexico,EDP_NIELSEN,NEEDS_REVIEW
Total Guadalajara_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
Total _Area 2.1 Continental,EDP_NIELSEN,NEEDS_REVIEW
Canal Moderno Area 4,EDP_NIELSEN,NEEDS_REVIEW
Total _Mexico,EDP_NIELSEN,NEEDS_REVIEW
TRADICIONAL PUEBLA,WATER_NIELSEN_RIE,NEEDS_REVIEW
Autoservicios Scanning Aguascalientes,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Scanning Cd. del Carmen,PB_NIELSEN,NEEDS_REVIEW
Autoservicios Surtido Completo Area 5_MT,WATER_NIELSEN_RIE,NEEDS_REVIEW
