SHP_CUS_IDT,CUS_IDT,CUS_GRN_CHL_DSC,CUS_NAM_DSC,CLI_CUS_ACC_GRP_COD,CLI_CUS_CHL_DSC,CLI_CUS_IND_COD,CLI_CUS_IND_DSC,CLI_CUS_1ST_IND_COD,CLI_CUS_1ST_IND_DSC,CLI_CUS_2ND_IND_COD,CLI_CUS_2ND_IND_DSC,CLI_CUS_3RD_IND_COD,CLI_CUS_3RD_IND_DSC,FACT_ROWS
752681150,752681150,UTT,2136 BA BOULEVARD MORELOS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,122850
752680913,752680913,UTT,3773 BA VIA CAPU PUEBLA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,122793
752682079,752682079,UTT,2840 SC INSURGENTES CHETUMAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,122310
752682204,752682204,UTT,2433 SC TORRES LANDA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,121209
752682146,752682146,UTT,3909 SC CORDOBA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,121089
752682320,752682320,UTT,3896 WMEX FUENTES DEL PEDREGAL,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,121032
752680954,752680954,UTT,3798 BA SANTA CECILIA,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120867
752681044,752681044,UTT,3910 BA LAS PALOMAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120816
752680912,752680912,UTT,3754 BA PLAZA LORETO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120621
752681477,752681477,UTT,2028 BA CONCEPCION DEL VALLE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120546
752681109,752681109,UTT,1253 BA PENAFLOR,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120540
752681386,752681386,UTT,1692 BA JOSE MA IGLESIAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120411
752682150,752682150,UTT,2689 SC FELIX CUEVAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,120138
752682174,752682174,UTT,1119 SC COLON,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,119673
752682046,752682046,UTT,1580 SC EL ROSARIO,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,119613
752680992,752680992,UTT,3789 BA REVOLUCION,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,119478
752681243,752681243,UTT,3924 BA COFRADIAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,119385
752682052,752682052,UTT,1202 SC HORIZONTE,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,119199
752682170,752682170,UTT,1169 SC PLAZA ARBOLEDAS,Z001,GLOBALES,V111,GLOBALES,ZMX01,333-Autoservicio,#,#,#,#,119193
