"""market_id""",MRKT_DSC_SHRT,"""hierarchy_level""","""hierarchy_number""","""hierarchy_name""","""hierarchy_column""",nielsen_source_cbu,mrkt_key,canal_std_m1,region_std_m1,mapping_status,channel_standard,gran_canal_grp,chain_standard,format_standard,canal_std,region_std
20243237,Autoservicios Scanning San Luis Rio Colorado,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING SAN LUIS RIO COLORADO,AUTOSERVICIO_SCANNING,SAN LUIS RIO COLORADO,CONFIRMED,MODERNO,UTT,,,MODERNO,SAN LUIS RIO COLORADO
20239177,Autoservicios Scanning Tampico,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TAMPICO,AUTOSERVICIO_SCANNING,TAMPICO,CONFIRMED,MODERNO,UTT,,,MODERNO,TAMPICO
20243225,Autoservicios Scanning Tapachula,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TAPACHULA,AUTOSERVICIO_SCANNING,TAPACHULA,CONFIRMED,MODERNO,UTT,,,MODERNO,TAPACHULA
20243231,Autoservicios Scanning Tecate,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TECATE,AUTOSERVICIO_SCANNING,TECATE,CONFIRMED,MODERNO,UTT,,,MODERNO,TECATE
20239195,Autoservicios Scanning Tepic,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TEPIC,AUTOSERVICIO_SCANNING,TEPIC,CONFIRMED,MODERNO,UTT,,,MODERNO,TEPIC
20239196,Autoservicios Scanning Tijuana,,,,,EDP_NIELSEN,AUTOSERVICIOS SCANNING TIJUANA,AUTOSERVICIO_SCANNING,TIJUANA,CONFIRMED,MODERNO,UTT,,,MODERNO,TIJUANA
20239210,Autoservicios Scanning Toluca,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TOLUCA,AUTOSERVICIO_SCANNING,TOLUCA,CONFIRMED,MODERNO,UTT,,,MODERNO,TOLUCA
20239159,Autoservicios Scanning Torreon,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TORREON,AUTOSERVICIO_SCANNING,TORREON,CONFIRMED,MODERNO,UTT,,,MODERNO,TORREON
20239164,Autoservicios Scanning Tuxtla Gutierrez,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING TUXTLA GUTIERREZ,AUTOSERVICIO_SCANNING,TUXTLA GUTIERREZ,CONFIRMED,MODERNO,UTT,,,MODERNO,TUXTLA GUTIERREZ
20239246,Autoservicios Scanning Valle de Mexico,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING VALLE DE MEXICO,AUTOSERVICIO_SCANNING,VDM,CONFIRMED,MODERNO,UTT,,,MODERNO,VDM
20239180,Autoservicios Scanning Veracruz,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING VERACRUZ,AUTOSERVICIO_SCANNING,VERACRUZ,CONFIRMED,MODERNO,UTT,,,MODERNO,VERACRUZ
20239201,Autoservicios Scanning Villahermosa,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING VILLAHERMOSA,AUTOSERVICIO_SCANNING,VILLAHERMOSA,CONFIRMED,MODERNO,UTT,,,MODERNO,VILLAHERMOSA
20239247,Autoservicios Scanning Xalapa,,,,,PB_NIELSEN,AUTOSERVICIOS SCANNING XALAPA,AUTOSERVICIO_SCANNING,XALAPA,CONFIRMED,MODERNO,UTT,,,MODERNO,XALAPA
20237446,Autoservicios Surt. Completo Area 1,,,,,EDP_NIELSEN,AUTOSERVICIOS SURT. COMPLETO AREA 1,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_1,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_1
20237447,Autoservicios Surt. Completo Area 2,,,,,EDP_NIELSEN,AUTOSERVICIOS SURT. COMPLETO AREA 2,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_2,CONFIRMED,MODERNO,UTT,,,MODERNO,AREA_2
