column_name,row_count,value
CUS_ABC_CLS_COD,234447.000000000000000000,XP
CUS_ABC_CLS_COD,201029.000000000000000000,C
CUS_ABC_CLS_COD,104529.000000000000000000,O
CUS_ABC_CLS_COD,64417.000000000000000000,XO
CUS_ABC_CLS_COD,55898.000000000000000000,A
CUS_ABC_CLS_COD,49940.000000000000000000,B1
CUS_ABC_CLS_COD,49326.000000000000000000,B2
CUS_ABC_CLS_COD,44303.000000000000000000,N
CUS_ABC_CLS_COD,42956.000000000000000000,XI
CUS_ABC_CLS_COD,33766.000000000000000000,XB
CUS_ABC_CLS_COD,27899.000000000000000000,XD
CUS_ABC_CLS_COD,15664.000000000000000000,IM
CUS_ABC_CLS_COD,12795.000000000000000000,AF
CUS_IND_KEY_COD,2682019.000000000000000000,ZMXW
CUS_IND_KEY_COD,2087025.000000000000000000,
CUS_IND_KEY_COD,972482.000000000000000000,V005
CUS_IND_KEY_COD,745127.000000000000000000,ZMXB
CUS_IND_KEY_COD,155635.000000000000000000,#
CUS_IND_KEY_COD,75548.000000000000000000,ZMXX
CUS_IND_KEY_COD,66874.000000000000000000,ZMXI
CUS_IND_KEY_COD,64244.000000000000000000,ZMXK
CUS_IND_KEY_COD,38845.000000000000000000,ZMXY
CUS_IND_KEY_COD,30815.000000000000000000,ZMXC
CUS_IND_KEY_COD,20530.000000000000000000,ZMXD
CUS_IND_KEY_COD,18193.000000000000000000,ZMXM
CUS_IND_KEY_COD,17681.000000000000000000,ZMXL
CUS_IND_KEY_COD,17535.000000000000000000,ZMXO
CUS_IND_KEY_COD,17500.000000000000000000,ZMXR
CUS_IND_KEY_COD,15031.000000000000000000,ZMXP
CUS_IND_KEY_COD,14262.000000000000000000,ZMXN
CUS_IND_KEY_COD,11029.000000000000000000,V111
CUS_IND_KEY_COD,8297.000000000000000000,V112
CUS_IND_KEY_COD,8108.000000000000000000,ZMXT
CUS_IND_KEY_DSC,4344526.000000000000000000,PROPIA
CUS_IND_KEY_DSC,2202200.000000000000000000,
CUS_IND_KEY_DSC,213754.000000000000000000,SOCIOS COMERCIALES
CUS_IND_KEY_DSC,165846.000000000000000000,AFH
CUS_IND_KEY_DSC,89725.000000000000000000,TDC
CUS_IND_KEY_DSC,20496.000000000000000000,AUTOSERVICIO
CUS_IND_KEY_DSC,13356.000000000000000000,NACIONALES
CUS_IND_KEY_DSC,12761.000000000000000000,GLOBALES
CUS_IND_KEY_DSC,9961.000000000000000000,CC REGIONALES
CUS_IND_KEY_DSC,6455.000000000000000000,MAYOREO
CUS_IND_KEY_DSC,2066.000000000000000000,E-COMMERCE
CUS_IND_KEY_DSC,1505.000000000000000000,CLUB
CUS_IND_KEY_DSC,1093.000000000000000000,AUTOSERVICIOS
CUS_IND_KEY_DSC,647.000000000000000000,TRANSPORTISTA
CUS_IND_KEY_DSC,503.000000000000000000,INTERCO
CUS_IND_KEY_DSC,203.000000000000000000,HOGAR
CUS_IND_KEY_DSC,10.000000000000000000,EXPORT
CUS_ADR_RGN_COD,2087025.000000000000000000,
CUS_ADR_RGN_COD,1026277.000000000000000000,MEX
CUS_ADR_RGN_COD,412994.000000000000000000,CMX
CUS_ADR_RGN_COD,368225.000000000000000000,JAL
CUS_ADR_RGN_COD,346503.000000000000000000,GTO
CUS_ADR_RGN_COD,285334.000000000000000000,PUE
CUS_ADR_RGN_COD,274165.000000000000000000,DF
CUS_ADR_RGN_COD,254801.000000000000000000,NL
CUS_ADR_RGN_COD,155349.000000000000000000,VER
CUS_ADR_RGN_COD,145512.000000000000000000,QRO
CUS_ADR_RGN_COD,138494.000000000000000000,MOR
CUS_ADR_RGN_COD,134611.000000000000000000,MCH
CUS_ADR_RGN_COD,127001.000000000000000000,BC
CUS_ADR_RGN_COD,104400.000000000000000000,YUC
CUS_ADR_RGN_COD,103379.000000000000000000,OAX
