RAW_VARIANT,BRAND_ORIGINAL,GRAIN_COUNT,SOURCE_COLUMN,SOURCE_SYSTEM,marca_std,brand_owner,coverage_status
LOS AZAHARES,LOS AZAHARES,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA PRIMAVERA,LA PRIMAVERA,83,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VILLA DE PATOS,VILLA DE PATOS,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
AGUASCALIENTES,AGUASCALIENTES,48,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GRANJA,GRANJA,14,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VILOE,VILOE,13,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
NUTRI VAKITA,NUTRI VAKITA,26,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CAMPO ALEGRE,CAMPO ALEGRE,37,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
CHAMYTO,CHAMYTO,32,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LALA SEMILLAS,LALA SEMILLAS,38,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
SLAVIANI,SLAVIANI,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LICUADO NESTLE,LICUADO NESTLE,67,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
MUUU,MUUU,8,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
GELATIX,GELATIX,11,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
ZAHINI,ZAHINI,38,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VENECIA,VENECIA,16,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
LA TIA SARA,LA TIA SARA,43,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
WAY FARE,WAY FARE,17,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
VITAL,VITAL,12,INP_56985,NIELSEN_EDP,,UNKNOWN,UNMAPPED_COMPETITOR_OR_UNKNOWN
