raw_variant,brand_original,source_system,source_column,coverage_status,promoted,marca_std,grain_count,action
LOS CUATES,LOS CUATES,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,40,ACTION_REQUIRED
LUCERNA,LUCERNA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,41,ACTION_REQUIRED
LUMA,LUMA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,13,ACTION_REQUIRED
LYNCOTT,LYNCOTT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,33,ACTION_REQUIRED
MARSELLA,MARSELLA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,17,ACTION_REQUIRED
MARUSIA,MARUSIA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,116,ACTION_REQUIRED
MUUU,MUUU,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
NATURLI,NATURLI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,18,ACTION_REQUIRED
NATURLICH,NATURLICH,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
NESQUIK,NESQUIK,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
NESTLE,NESTLE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,67,ACTION_REQUIRED
NIDO PETIT SUISSE,NIDO PETIT SUISSE,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
NUTRI VAKITA,NUTRI VAKITA,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,26,ACTION_REQUIRED
NUTRI YOGHURT,NUTRI YOGHURT,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,133,ACTION_REQUIRED
ONEI,ONEI,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,34,ACTION_REQUIRED
PALMALAC,PALMALAC,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
PASCUAL,PASCUAL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
PETIZOO,PETIZOO,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,51,ACTION_REQUIRED
PINK,PINK,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,8,ACTION_REQUIRED
PL,PL,NIELSEN_EDP,INP_56985,UNMAPPED_COMPETITOR_OR_UNKNOWN,NO,,278,ACTION_REQUIRED
