marca_std,raw_variant,brand_original,source_system,source_column,brand_owner,promoted,coverage_status,grain_count,catalog_built_date
DANY,DANY,DANY,MKT_ON,MARCA,DANONE,YES,CONFIRMED,75,2026-06-29
DANY,DANY DANETTE,DANY DANETTE,MKT_ON,MARCA,DANONE,YES,CONFIRMED,1,2026-06-29
DANY,DANY,DANY,NIELSEN_EDP,INP_56985,DANONE,YES,CONFIRMED,150,2026-06-29
DANY,DANY,DANY,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,108,2026-06-29
DANY,DANY,DANY,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,55,2026-06-29
DANY,DANY,DANY,WASTE,MARCA,DANONE,YES,CONFIRMED,677726,2026-06-29
DELIGHT,DELIGHT,DELIGHT,IBP,MARCA,DANONE,YES,CONFIRMED,1560,2026-06-29
DELIGHT,DELIGHT,DELIGHT,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,18,2026-06-29
DELIGHT,DELIGHT,DELIGHT,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,22,2026-06-29
DELIGHT,DELIGHT,DELIGHT,WASTE,MARCA,DANONE,YES,CONFIRMED,9737,2026-06-29
EVIAN,EVIAN,EVIAN,IBP,MARCA,DANONE,YES,CONFIRMED,24,2026-06-29
EVIAN,EVIAN,EVIAN,MKT_OFF,MARCA,DANONE,YES,CONFIRMED,1,2026-06-29
EVIAN,EVIAN,EVIAN,MKT_ON,MARCA,DANONE,YES,CONFIRMED,678,2026-06-29
EVIAN,EVIAN,EVIAN,NIELSEN_WATER_RT,CSTM_310589,DANONE,YES,CONFIRMED,35,2026-06-29
EVIAN,EVIAN,EVIAN,NIELSEN_WATER_ST,CSTM_310589,DANONE,YES,CONFIRMED,65,2026-06-29
EVIAN,EVIAN,EVIAN,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,143,2026-06-29
EVIAN,FERRARELLE,FERRARELLE,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,4,2026-06-29
EVIAN,EVIAN,EVIAN,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,43,2026-06-29
HERSHEYS,HERSHEY'S,HERSHEY'S,IBP,MARCA,DANONE,YES,CONFIRMED,3912,2026-06-29
HERSHEYS,DANONE HERSHEYS,DANONE HERSHEYS,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,3,2026-06-29
HERSHEYS,HERSHEYS,HERSHEYS,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,1,2026-06-29
HERSHEYS,HERSHEYS,HERSHEYS,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,3,2026-06-29
HERSHEYS,HERSHEYS,HERSHEYS,WASTE,MARCA,DANONE,YES,CONFIRMED,2670,2026-06-29
INFINIT,INFINIT,INFINIT,NIELSEN_WATER_RT,CSTM_310589,DANONE,YES,CONFIRMED,6,2026-06-29
INFINIT,INFINIT,INFINIT,NIELSEN_WATER_ST,CSTM_310589,DANONE,YES,CONFIRMED,8,2026-06-29
INFINIT,WATER INFINIT,WATER INFINIT,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,6,2026-06-29
INFINIT,INFINIT WATER,INFINIT WATER,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,3,2026-06-29
JUIZZY,JUIZZY,Juizzy,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,36,2026-06-29
JUIZZY,FRUIX,FRUIX,SELL_IN,LV2_UMB_BRD_DSC,DANONE,YES,CONFIRMED,14,2026-06-29
JUIZZY,FRUIX,FRUIX,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,12,2026-06-29
JUIZZY,JUIZZY,JUIZZY,SELL_OUT,BRAND,DANONE,YES,CONFIRMED,35,2026-06-29
JUMEX,JUMEX_XOT,JUMEX_XOT,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,5,2026-06-29
JUMEX,JUMEX_BIDA,JUMEX_BIDA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,349,2026-06-29
JUMEX,JUMEX_FRESH,JUMEX_FRESH,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,10723,2026-06-29
JUMEX,JUMEX_SPORT,JUMEX_SPORT,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,7597,2026-06-29
JUMEX,JUMEX,JUMEX,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,39626,2026-06-29
JUMEX,JUMEX_MIA,JUMEX_MIA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1921,2026-06-29
JUMEX,JUMEX_AMI,JUMEX_AMI,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,6,2026-06-29
JUMEX,JUMEX_XODA,JUMEX_XODA,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,53,2026-06-29
JUMEX,JUMEX_UNICO,JUMEX_UNICO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1342,2026-06-29
JUMEX,JUMEX_CERO,JUMEX_CERO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,1461,2026-06-29
JUMEX,JUMEX_FRESCO,JUMEX_FRESCO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,3249,2026-06-29
JUMEX,JUMEXITO,JUMEXITO,MKT_OFF,MARCA,COMPETITOR,YES,CONFIRMED,2640,2026-06-29
