MRKT_DSC_SHRT,NIELSEN_SOURCE_TABLE,REVIEW_STATUS,AGG_LEVEL,CANAL_LVL1,CANAL_LVL2,REGION_TYPE,REGION_STD,REGION_DETAIL,canal_std,region_std
Autoservicios Scanning Toluca,PB_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,CITY,TOLUCA,,AUTOSERVICIO_SCANNING,TOLUCA
Total Autos Saltillo,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SALTILLO,,AUTOSERVICIO,SALTILLO
Total _Area 3,EDP_NIELSEN,CONFIRMED,TOTAL,TOTAL_MERCADO,TOTAL_MERCADO,AREA,AREA_3,,TOTAL_MERCADO,AREA_3
Moderno Monterrey_MT,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,MODERNO,MODERNO_TOTAL,CITY,MONTERREY,,MODERNO_TOTAL,MONTERREY
Total Autos Parral + Camargo,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,PARRAL + CAMARGO,,AUTOSERVICIO,PARRAL + CAMARGO
Canal Tradicional _Area 2.1 Continental,EDP_NIELSEN,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_2,AREA_2_1_CONTINENTAL,TRADICIONAL,AREA_2
TRADICIONAL AREA I,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL,AREA,AREA_1,,TRADICIONAL,AREA_1
Total Autos San Luis Rio Colorado_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,SAN LUIS RIO COLORADO,,AUTOSERVICIO,SAN LUIS RIO COLORADO
TRADICONAL MEXICO GDE,WATER_NIELSEN_RIE,CONFIRMED,DETAIL,TRADICIONAL,TRADICIONAL_GRANDES_MINISUPERS,CITY,MEXICO GDE,,TRADICIONAL_GRANDES_MINISUPERS,MEXICO GDE
Total Autos Orizaba,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,ORIZABA,,AUTOSERVICIO,ORIZABA
Autos Scanning Area 3,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SCANNING,AREA,AREA_3,,AUTOSERVICIO_SCANNING,AREA_3
Autoservicios Surt. Completo Area 1,EDP_NIELSEN,CONFIRMED,DETAIL,MODERNO,AUTOSERVICIO_SURTIDO_COMPLETO,AREA,AREA_1,,AUTOSERVICIO_SURTIDO_COMPLETO,AREA_1
Total Autos Guaymas_MT,PB_NIELSEN,CONFIRMED,TOTAL,MODERNO,AUTOSERVICIO,CITY,GUAYMAS,,AUTOSERVICIO,GUAYMAS
