FORMATO,CADENA,SUBCADENA,CIUDAD,ESTADO,REGION,CLUSTER,STORE_COUNT
CH-SELECTO,TIENDAS CHEDRAUI,NA,NA,Yucatan,NA,NA,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Chicoloapan,Mexico,CENTRO,BRONCE,1
SO-HIPERMERCADOS,SORIANA,SOR-HIPER,Tlalpan,Distrito Federal,CENTRO,BRONCE,1
SAMS CLUB,SAMS,SAM-SAMS,Zumpango,Mexico,CENTRO,SAMS,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Zacoalco de Torres,Jalisco,CENTRO,PLATA,1
CH-SELECTO,TIENDAS CHEDRAUI,CH-SELECTO,Los Cabos,Baja California Sur,NORTE,ORO,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Ciudad Juarez,Chihuahua,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Mirador Del Bosque,Jalisco,CENTRO,BRONCE,1
WM-BODEGA AURRERA,WALMART,NA,NA,Yucatan,ND,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Teoloyucan Centro F,Mexico,CENTRO,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Lerdo,Durango,NORTE,BRONCE,1
WM-BOD AURRERA EXPRESS,WALMART,NA,Cuautitlan,Mexico,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Loma Dorada,Guanajuato,NORTE,BRONCE,1
CH-SUPERCHE,TIENDAS CHEDRAUI,NA,Zapopan,Jalisco,ND,ND,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,IZTAPALAPA,Distrito Federal,CENTRO,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Atlixco,Puebla,SUR,BRONCE,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Matehuala,San Luis Potosi,NORTE,DIAMANTE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,Linares,Nuevo Leon,NORTE,BRONCE,1
CH-SUPERCITO,TIENDAS CHEDRAUI,CH-SUPERCITO,Cuernavaca,Morelos,SUR,BRONCE,2
SO-MERCADOS,SORIANA,SOR-MERCADO,Oluta,Veracruz,SUR,ORO,1
CL-FIESTA,CASALEY,CL-CASA LEY,Xalisco,Nayarit,CENTRO,BRONCE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Salvatierra,Guanajuato,CENTRO,PLATA,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Rio Blanco Tesistan,Jalisco,CENTRO,BRONCE,1
SO-HIPERMERCADOS,SORIANA,NA,Monterrey,Nuevo Leon,ND,ND,1
WM-BOD AURRERA EXPRESS,WALMART,WM-BAE,Paseo De La Constit,Queretaro,SUR,BRONCE,1
SO-MERCADOS,SORIANA,SOR-MERCADO,La Barca,Jalisco,CENTRO,PLATA,1
CH-SUPERCHE,TIENDAS CHEDRAUI,CH-CHEDRAUI,Playa del Carmen,Quintana Roo,SUR,ORO,1
CH-SUPERCITO,TIENDAS CHEDRAUI,NA,Puebla,Puebla,SUR,BRONCE,1
SO-EXPRESS,SORIANA,SOR-EXPRESS,Bahia de Banderas,Nayarit,CENTRO,BRONCE,1
CM-BODEGA,COMERCIAL MEXICANA,NA,Xochimilco,Distrito Federal,ND,ND,1
WM-BODEGA AURRERA,WALMART,WM-BODEGA AURRERA,Coatepec,Veracruz,SUR,ORO,1
CCF-FRESKO,COMERCIAL CITY FRESKO,CF-FRESKO,Valle de Bravo,Mexico,CENTRO,PLATA,1
OXXO,OXXO,NA,NA,Baja California Sur,NA,NA,1
CCF-SUMESA,COMERCIAL CITY FRESKO,CF-SUMESA,Cuauhtemoc,Distrito Federal,CENTRO,ORO,1
WM-SUPER CENTER,WALMART,WM-SUPERCENTER,Cuautitlan Izcalli,Mexico,CENTRO,ORO,1
WM-MI BODEGA AURRERA,WALMART,NA,NA,Guerrero,SUR,BRONCE,1
CH-TIENDAS,TIENDAS CHEDRAUI,CH-CHEDRAUI,Comalcalco,Tabasco,SUR,DIAMANTE,1
WM-MI BODEGA AURRERA,WALMART,WM-MI BODEGA,Comonfort,Guanajuato,SUR,ORO,1
WM-SUPERAMA,WALMART,WM-SUPERCENTER,Toluca,Mexico,CENTRO,PLATA,1
